"행정구역","2023년10월_계_총인구수","2023년10월_계_연령구간인구수","2023년10월_계_0~9세","2023년10월_계_10~19세","2023년10월_계_20~29세","2023년10월_계_30~39세","2023년10월_계_40~49세","2023년10월_계_50~59세","2023년10월_계_60~69세","2023년10월_계_70~79세","2023년10월_계_80~89세","2023년10월_계_90~99세","2023년10월_계_100세 이상"
"서울특별시 노원구 공릉1동(1135059500)","36,041","36,041","1,507","2,478","6,632","4,929","4,980","5,413","5,582","3,051","1,276","189","4"
"서울특별시 노원구 공릉2동(1135060000)","41,668","41,668","2,947","4,214","6,926","5,484","6,656","6,358","5,239","2,555","1,136","151","2"
"서울특별시 노원구 하계1동(1135061100)","26,295","26,295","875","2,965","4,592","2,629","3,382","4,796","3,899","1,921","1,075","158","3"
"서울특별시 노원구 하계2동(1135061200)","21,339","21,339","1,215","2,500","2,601","2,450","3,503","3,811","2,926","1,430","777","126","0"
"서울특별시 노원구 중계본동(1135061900)","23,079","23,079","1,136","4,210","2,901","1,667","4,290","4,631","2,536","1,016","604","87","1"
"서울특별시 노원구 중계1동(1135062100)","26,357","26,357","1,642","5,267","2,828","1,848","5,732","4,898","2,472","1,015","570","83","2"
"서울특별시 노원구 중계4동(1135062400)","19,167","19,167","876","1,944","2,306","1,795","2,897","3,594","2,777","1,904","935","136","3"
"서울특별시 노원구 중계2.3동(1135062500)","32,588","32,588","1,533","2,702","3,688","3,842","4,830","5,556","5,005","3,333","1,830","259","10"
"서울특별시 노원구 상계1동(1135063000)","37,003","37,003","1,821","2,955","4,583","4,439","5,092","6,708","6,462","3,208","1,518","207","10"
"서울특별시 노원구 상계2동(1135064000)","19,174","19,174","706","1,595","2,941","2,114","2,547","3,758","3,167","1,504","739","96","7"
"서울특별시 노원구 상계3.4동(1135066500)","27,462","27,462","1,518","2,083","3,094","2,927","3,907","4,893","4,677","2,734","1,473","147","9"
"서울특별시 노원구 상계5동(1135067000)","23,072","23,072","841","1,729","2,918","2,586","3,029","4,356","3,949","2,306","1,186","165","7"
"서울특별시 노원구 상계6.7동(1135069500)","31,477","31,477","1,916","2,666","4,052","4,653","4,853","5,515","4,352","2,137","1,111","217","5"
"서울특별시 노원구 상계8동(1135070000)","21,902","21,902","1,919","1,753","2,372","4,738","3,622","3,088","2,399","1,275","630","103","3"
"서울특별시 노원구 상계9동(1135071000)","19,683","19,683","1,058","1,736","2,384","2,669","2,996","3,515","2,924","1,507","753","139","2"
"서울특별시 노원구 상계10동(1135072000)","18,275","18,275","1,202","1,517","2,304","2,865","2,796","3,194","2,597","1,141","563","93","3"
"서울특별시 은평구 (1138000000)","467,124","467,124","24,571","35,652","62,094","66,318","70,649","77,465","68,783","39,692","19,639","2,202","59"
"서울특별시 은평구 녹번동(1138051000)","36,151","36,151","2,126","2,096","4,533","5,684","5,416","5,778","5,426","3,261","1,626","201","4"
"서울특별시 은평구 불광제1동(1138052000)","37,536","37,536","1,861","2,386","4,716","5,241","5,337","6,431","5,995","3,444","1,902","219","4"
"서울특별시 은평구 불광제2동(1138053000)","26,781","26,781","799","1,469","3,843","3,786","3,387","4,624","4,607","2,762","1,365","135","4"
